,,Sinhala_Medium,Tamil_Medium,English_Medium,Num_Gov_Schools,Gov_School_Students,Gov_School_Teachers,Num_Private_Schools,Private_School_Students,Private_School_Teachers
Colombo,கொழும்பு,329695,34599,15546,405,379840,17190,34,67880,3424
Gampaha,கம்பகா,338329,16604,6075,536,361008,16027,14,25077,1060
Kalutara,களுத்துறை,196204,28842,2938,419,227984,11144,10,9058,400
Kandy,கண்டி,204972,65684,8524,650,279180,17000,9,11506,771
Matale,மாத்தளை,80523,18867,1977,323,101367,6565,3,1398,73
Nuwaraeliya,நுவரெலியா,65301,96274,2086,548,163661,9904,2,2016,91
Galle,காலி,215132,4815,3356,431,223303,11109,3,400,41
Matara,மாத்தறை,156706,7355,2880,363,166941,9975,7,4988,239
Hambantota,அம்பாந்தோட்டை,130907,2614,2505,320,136026,7943,2,923,68
Jaffna,யாழ்ப்பாணம்,0,115812,2327,439,118139,8037,6,8269,362
Kilinochchi,கிளிநொச்சி,0,32638,103,104,32741,2044,0,0,0
Mannar,மன்னார்,5,26524,361,133,26890,1942,0,0,0
Vavuniya,வவுனியா,3470,33089,522,172,37081,2681,0,0,0
Mullativu,முல்லைத்தீவு,1652,26718,93,123,28463,1855,0,0,0
Batticaloa,மட்டக்களப்பு,468,130891,528,357,131887,6750,1,45,9
Ampara,அம்பாறை,56698,102981,2702,437,162381,8942,0,0,0
Trincomalee,திருகோணமலை,22693,76557,562,312,99812,5162,0,0,0
Kurunegala,குருநாகல்,297214,30317,9078,890,336609,19764,2,1252,63
Puttalam,புத்தளம்,121722,44068,2221,369,168011,8041,1,84,18
Anuradhapura,அனுராதபுரம்,176621,19358,2982,557,198961,12004,2,169,25
Polonnaruwa,பொலன்னறுவை,77935,9521,507,248,87963,4695,0,0,0
Badulla,பதுளை,135166,47523,3212,601,185901,13392,5,2660,154
Monaragala,மொனராகலை,95901,4591,2030,294,102522,6409,1,66,15
Ratnapura,இரத்தினபுரி,189976,25268,3369,601,218613,12685,2,531,48
Kaegalle,கேகாலை,137015,26522,4509,530,168046,11295,1,85,11
Sri_Lanka,இலங்கை,3034305,1028032,80993,10162,4143330,232555,105,136407,6872